Crop,Irrigation,N,P,K,pH,Notes
Khesari,Surface Irrigation,17.2,27.5,17.9,6.81,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Center-pivot Irrigation,26.7,14.8,25.5,6.58,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Furrow Irrigation,26.6,36.1,35.9,7.09,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Surface Irrigation,23.2,12.5,30.7,7.18,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Flood Irrigation,32.6,17.9,12.6,7.29,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Center-pivot Irrigation,19.7,31.1,23.7,6.69,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Rotary Irrigation,15.5,36.1,16.7,6.91,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Drip Irrigation,22.3,10.6,37.9,6.62,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Drip Irrigation,17.8,39.9,13.5,7.47,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Lateral Move Irrigation,31.4,20.3,32.0,6.66,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Surface Irrigation,17.0,30.2,12.1,6.3,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Sprinkler Irrigation,29.4,12.5,13.4,7.98,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Drip Irrigation,27.1,12.7,40.0,6.26,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Micro Irrigation,33.6,19.0,34.0,7.44,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Subsurface Textile Irrigation,24.1,14.6,26.0,6.31,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Drip Irrigation,27.3,36.9,10.0,6.66,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Drip Irrigation,21.2,35.9,11.8,7.7,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Subsurface Textile Irrigation,25.5,19.3,30.1,6.63,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Micro Irrigation,16.4,34.1,16.9,6.68,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Rotary Irrigation,25.0,19.0,18.1,7.38,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Rotary Irrigation,12.8,31.5,16.8,7.87,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Sprinkler Irrigation,13.4,10.5,23.4,7.94,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Lateral Move Irrigation,27.5,27.1,27.9,6.25,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Center-pivot Irrigation,35.8,22.5,10.7,6.49,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Khesari,Rotary Irrigation,36.3,26.5,12.6,6.69,Fertilizer plan for Khesari; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,26.5,47.3,41.1,6.4,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,59.5,47.3,51.5,6.77,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,37.2,24.3,44.6,6.66,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,49.7,40.3,50.9,6.24,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,37.1,45.2,29.1,7.39,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,47.8,29.6,22.9,6.4,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,21.0,40.2,39.5,6.48,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,56.7,35.5,38.4,7.3,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,58.5,21.5,38.6,6.04,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,56.1,27.0,36.3,6.07,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Center-pivot Irrigation,27.3,33.0,44.8,6.77,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Furrow Irrigation,26.7,27.7,46.7,7.2,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Center-pivot Irrigation,50.2,23.3,36.0,6.44,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,43.9,35.0,48.9,6.16,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,44.2,25.9,45.8,6.19,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,30.8,39.0,41.7,7.19,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,25.0,30.6,23.8,7.17,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,53.5,44.7,42.9,6.73,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,44.2,46.8,43.6,7.07,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,37.1,46.0,58.2,6.09,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,36.8,32.7,54.5,6.64,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Furrow Irrigation,54.1,36.3,30.6,7.17,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Furrow Irrigation,40.7,33.2,42.1,6.36,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,32.8,28.3,54.1,7.14,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,22.7,34.7,50.9,7.06,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,24.6,42.6,41.4,7.39,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,26.3,21.9,41.3,6.08,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,40.7,37.9,38.6,6.28,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,47.6,30.4,21.0,6.64,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,36.8,44.7,50.4,6.9,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,47.9,39.7,40.7,6.96,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,52.7,44.2,44.4,6.09,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,26.4,38.9,39.2,6.64,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,51.1,30.9,36.5,6.76,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,23.0,30.3,34.7,6.1,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,49.6,27.7,59.3,6.47,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,27.2,20.3,21.8,6.68,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,46.0,30.4,55.7,6.15,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,33.9,37.1,43.3,7.28,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,39.8,30.8,33.8,6.46,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,28.9,26.4,29.1,6.41,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,45.8,20.2,51.0,7.2,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,46.1,20.4,46.5,6.26,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,48.7,21.0,26.4,6.94,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Center-pivot Irrigation,32.5,25.9,46.0,6.31,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,38.5,24.0,21.1,7.3,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,53.0,26.4,35.7,6.99,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,23.1,33.9,58.3,7.26,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Center-pivot Irrigation,20.8,31.6,50.7,6.98,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,50.0,48.0,51.4,7.33,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,41.4,27.6,58.2,6.01,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Center-pivot Irrigation,39.9,23.1,58.4,6.24,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,26.4,27.7,29.9,7.1,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,22.4,26.1,26.3,6.84,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,26.5,44.8,33.9,7.16,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,22.4,21.7,25.4,6.56,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Furrow Irrigation,22.7,47.6,58.9,6.8,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,30.7,26.0,33.5,6.83,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,50.7,25.8,57.7,6.55,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,57.7,39.9,24.2,6.43,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,37.7,42.7,22.1,7.44,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,20.8,21.4,51.4,7.36,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Center-pivot Irrigation,33.3,34.3,50.6,6.54,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Center-pivot Irrigation,32.4,47.4,43.8,7.41,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,35.7,49.4,45.1,6.15,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Center-pivot Irrigation,29.8,38.5,55.8,7.37,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,58.8,43.4,59.7,6.05,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,33.4,29.6,43.0,6.31,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,23.9,36.1,37.6,6.07,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,56.4,26.7,56.0,7.01,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,50.7,47.1,21.1,6.38,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Furrow Irrigation,26.0,43.2,40.1,7.0,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,40.5,36.1,29.3,6.66,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,36.9,23.0,27.8,6.78,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,59.2,32.1,25.0,6.0,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,34.9,26.2,20.5,7.14,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,45.1,30.2,41.1,7.08,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Lateral Move Irrigation,42.3,32.9,35.5,6.63,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,52.6,47.0,33.4,7.26,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,53.4,39.4,27.3,6.91,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,50.5,31.7,28.5,6.96,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,43.7,21.8,51.3,6.1,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,24.2,27.4,32.0,7.17,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,53.3,48.1,41.6,7.26,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,27.4,27.0,30.4,6.08,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Micro Irrigation,37.9,20.2,43.3,6.13,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,29.6,40.8,20.4,6.36,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,41.1,47.6,47.7,7.11,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,24.1,42.2,35.6,7.16,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Flood Irrigation,35.9,37.8,28.3,6.92,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,57.8,34.0,46.7,6.17,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,48.9,26.6,52.1,7.26,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,45.3,20.9,59.4,7.44,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,60.0,35.8,58.6,6.28,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Subsurface Textile Irrigation,38.2,21.3,59.8,6.08,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,58.4,37.4,57.4,6.81,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Surface Irrigation,26.3,29.7,51.8,7.45,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Drip Irrigation,22.0,28.1,45.6,7.36,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Rotary Irrigation,54.5,31.0,34.1,7.1,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Linseed,Sprinkler Irrigation,30.8,41.3,49.1,6.31,Fertilizer plan for Linseed; adjust based on soil test and crop stage.
Leek,Sprinkler Irrigation,77.7,47.1,57.1,6.15,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Center-pivot Irrigation,69.4,34.3,47.0,6.21,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,74.4,40.7,46.4,6.22,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,57.2,52.6,68.3,6.62,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,73.6,56.8,41.7,6.6,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,53.5,34.5,58.1,6.27,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,57.1,58.9,79.3,6.63,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Center-pivot Irrigation,58.6,37.3,74.7,6.3,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,63.8,38.3,60.7,6.59,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Drip Irrigation,94.3,33.6,79.2,6.89,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,82.6,51.4,58.1,6.03,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,73.9,58.1,60.4,6.44,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,54.3,50.5,78.3,6.71,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,62.7,33.5,79.4,6.45,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,79.6,56.3,45.9,6.88,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,54.8,58.8,59.7,6.17,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,73.6,36.5,52.2,6.2,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,63.5,45.8,62.2,6.15,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,57.7,34.5,69.0,6.65,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,54.4,36.3,40.9,6.22,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,61.9,39.3,66.3,6.54,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,56.7,45.5,59.7,6.8,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,78.8,30.9,50.7,6.05,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,80.2,55.1,67.4,6.49,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,93.1,41.6,74.3,6.99,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Center-pivot Irrigation,55.6,32.0,41.6,6.99,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,95.7,58.0,54.9,6.88,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,65.2,44.3,78.2,6.11,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,74.6,46.0,41.1,6.04,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,77.4,57.5,74.5,6.59,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,65.6,58.8,75.4,6.37,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,66.5,48.0,64.4,6.69,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,64.9,50.5,72.6,6.08,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,86.5,33.0,67.8,6.03,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,56.8,36.0,44.5,6.59,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,62.2,54.5,41.8,6.09,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Center-pivot Irrigation,85.2,44.6,65.5,6.45,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,63.2,58.9,56.2,6.3,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,79.0,53.6,72.4,6.85,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,86.2,53.8,40.1,6.48,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,74.1,31.0,72.8,6.93,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,95.4,39.4,40.9,6.26,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,92.0,56.0,64.9,6.5,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,54.0,41.9,45.5,6.28,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,58.6,34.7,46.4,6.69,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,96.6,49.0,51.0,6.16,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,55.6,36.0,72.2,6.85,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,78.4,55.5,50.8,6.88,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,75.0,36.1,60.3,6.81,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,53.2,30.5,53.9,6.33,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,70.4,44.1,52.8,6.85,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,91.7,48.5,59.4,6.08,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Sprinkler Irrigation,76.6,33.1,74.9,6.51,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Center-pivot Irrigation,72.9,44.6,64.1,6.32,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,60.4,40.6,63.6,6.66,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Sprinkler Irrigation,69.2,50.1,63.9,6.64,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,93.9,59.4,45.9,6.11,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,99.1,54.7,69.1,6.24,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,86.9,34.6,48.6,6.04,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,68.7,51.7,46.4,6.85,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,53.8,43.7,40.8,6.84,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,59.0,50.4,73.8,6.2,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Drip Irrigation,96.9,50.7,75.5,6.46,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,59.3,38.5,61.8,6.03,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,96.9,50.2,56.5,6.5,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,68.2,45.9,57.0,6.19,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,65.1,45.4,61.9,6.47,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,89.6,59.9,50.3,6.73,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,70.8,56.5,73.9,6.6,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,72.4,33.0,70.5,6.37,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,89.3,52.4,43.8,6.83,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Subsurface Textile Irrigation,63.5,30.5,57.1,6.92,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,51.7,58.0,44.6,6.6,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,88.7,34.1,71.9,6.89,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,69.5,54.7,44.8,6.88,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,81.4,48.8,74.8,6.43,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Sprinkler Irrigation,81.6,43.2,45.8,6.11,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,74.6,43.5,47.6,6.5,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,82.9,59.5,73.3,6.06,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,74.6,56.9,75.9,6.67,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,98.5,51.4,69.9,6.61,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,65.3,40.2,69.0,6.37,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,55.9,39.2,50.9,6.51,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Sprinkler Irrigation,72.2,50.9,41.6,6.51,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,79.2,36.3,53.4,6.72,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Center-pivot Irrigation,61.2,31.5,41.2,6.48,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,92.4,30.8,46.5,6.34,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,76.3,30.9,48.2,6.39,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,51.5,30.2,65.5,6.25,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Sprinkler Irrigation,76.7,46.6,63.8,6.79,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,65.2,41.7,63.7,6.71,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Lateral Move Irrigation,67.6,55.0,49.5,6.99,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Flood Irrigation,52.8,31.1,79.3,6.76,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Surface Irrigation,57.1,44.3,54.3,6.25,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,84.3,35.8,42.7,6.61,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Furrow Irrigation,53.6,42.6,77.5,6.29,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Sprinkler Irrigation,94.8,58.5,73.7,6.64,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,55.7,38.6,50.5,6.34,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Rotary Irrigation,80.1,33.9,67.9,6.96,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Leek,Micro Irrigation,83.1,54.9,55.6,6.88,Fertilizer plan for Leek; adjust based on soil test and crop stage.
Lettuce,Subsurface Textile Irrigation,71.1,55.1,76.9,6.59,Fertilizer plan for Lettuce; adjust based on soil test and crop stage.
Lettuce,Surface Irrigation,58.3,44.6,65.2,6.42,Fertilizer plan for Lettuce; adjust based on soil test and crop stage.
Lettuce,Flood Irrigation,52.8,34.4,57.6,6.12,Fertilizer plan for Lettuce; adjust based on soil test and crop stage.
Lettuce,Center-pivot Irrigation,81.2,38.3,45.3,6.21,Fertilizer plan for Lettuce; adjust based on soil test and crop stage.
Lettuce,Drip Irrigation,62.0,44.6,50.0,6.36,Fertilizer plan for Lettuce; adjust based on soil test and crop stage.
Lettuce,Micro Irrigation,56.8,56.9,45.6,6.38,Fertilizer plan for Lettuce; adjust based on soil test and crop stage.
Lettuce,Surface Irrigation,46.6,44.1,51.1,6.25,Fertilizer plan for Lettuce; adjust based on soil test and crop stage.
Lettuce,Rotary Irrigation,42.4,53.1,44.1,6.45,Fertilizer plan for Lettuce; adjust based on soil test and crop stage.
